Continent,Country,Year,Life Expectancy,Gender,BMI,Blood Pressure,Cholesterol,Lung Cancer,Liver Cancer,Stomach Cancer,Population,Population Growth
Asia,Thailand,1991,67.1,women,22.7,120,4.85,3690,2800,1150,28875467,1.176143573
Asia,Timor-Leste,1991,47.8,women,20.4,119,4.37,11.3,5.97,17.4,376023,2.982474879
Africa,Togo,1991,54.8,women,21,128,4.38,35.2,104,74.5,1958784,2.41632986
Oceania,Tonga,1991,68.2,women,30.2,123,4.72,3.51,3.25,3.14,46917,0.164389411
Americas,Trinidad and Tobago,1991,65.3,women,26.7,124,4.83,24.3,25.4,33.6,616475,0.640599721
Africa,Tunisia,1991,67.3,women,25.9,130,4.71,76.5,30.6,124,4179847,2.171867193
Asia,Turkey,1991,61.2,women,27.1,128,4.91,1630,542,2460,27764716,1.733954176
Asia,Turkmenistan,1991,59,women,24.3,131,5.03,58.4,44.2,151,1926000,2.801967435
Africa,Uganda,1991,42.3,women,21,130,4.32,104,277,229,9045934,3.54950987
Europe,Ukraine,1991,64.6,women,26.3,134,5.38,5010,720,9030,27506697,-0.084881747
Asia,United Arab Emirates,1991,70.9,women,28,128,5.45,8.12,6.58,12.6,663919,5.36440058
Europe,United Kingdom,1991,73.1,women,25.3,132,5.81,13700,764,4830,2944292,0.274648318
Americas,United States,1991,71.9,women,26.4,122,5.52,67900,3770,10000,129771578,0.933820543
Americas,Uruguay,1991,69,women,24.4,127,5.15,188,26.8,256,1613502,0.760999078
Asia,Uzbekistan,1991,63.3,women,24.6,125,4.89,455,236,870,10542927,2.284889304
Oceania,Vanuatu,1991,62.2,women,25.1,128,4.69,2.62,1.42,2.79,73283,2.934236031
Asia,Yemen,1991,56.6,women,24.5,125,4.67,150,98.8,300,6198968,4.567210293
Africa,Zambia,1991,42.2,women,21.9,128,4.58,39.7,118,109,4138732,2.668868853
Africa,Zimbabwe,1991,53.7,women,24.9,131,4.54,215,313,265,5370951,2.470396641
Asia,Afghanistan,1992,50.3,women,20.7,124,4.51,217,123,464,7024451,8.446488012
Europe,Albania,1992,69,women,25,130,4.95,98,81,99.9,1609731,-0.108161844
Africa,Algeria,1992,65.7,women,24.8,131,4.94,185,125,299,13343646,2.363529509
Africa,Angola,1992,39.9,women,21.1,130,4.63,133,174,207,6325395,3.415980294
Americas,Antigua and Barbuda,1992,69.1,women,26,126,5.01,1.52,1.59,2.63,33341,1.972718375
Americas,Argentina,1992,68.5,women,25.2,121,5.24,1700,699,1620,17209618,1.376685896
Asia,Armenia,1992,64.6,women,26.1,134,5.07,147,120,225,1787888,-1.362202696
Oceania,Australia,1992,74.5,women,25.1,125,5.55,2030,129,786,8736594,1.299046432
Europe,Austria,1992,72.6,women,24.4,130,5.61,931,219,1060,4071594,0.57552624
Asia,Azerbaijan,1992,60.4,women,26.6,131,5.04,189,175,460,3821002,1.57830431
