Continent,Country,Year,Life Expectancy,Gender,BMI,Blood Pressure,Cholesterol,Lung Cancer,Liver Cancer,Stomach Cancer,Population,Population Growth
Africa,Senegal,1995,55.9,women,22.8,129,4.43,61.9,234,140,4379541,2.832196895
Europe,Serbia,1995,68.9,women,25.6,133,5,851,294,495,5013592,0.278779292
Africa,Seychelles,1995,66.2,women,26.4,131,5.34,1.89,0.73,1.56,38271,1.552300589
Africa,Sierra Leone,1995,35,women,22.5,133,4.29,23.8,115,70.5,217372,-0.17996555
Asia,Singapore,1995,75.1,women,23.4,126,4.69,261,77.6,162,1735613,2.939226218
Europe,Slovenia,1995,70.5,women,26.1,132,5.34,172,37.5,206,1024748,-0.250165966
Oceania,Solomon Islands,1995,59.4,women,26.6,121,4.66,5.82,3.93,7.23,174741,2.84690178
Africa,Somalia,1995,45.7,women,21.7,129,4.44,37,102,121,3734818,1.6456235
Africa,South Africa,1995,57.7,women,27.7,131,4.56,1260,582,595,20980414,2.246707665
Europe,Spain,1995,74.6,women,25.8,126,5.3,1870,1410,3570,20306175,0.309179411
Asia,Sri Lanka,1995,66,women,22.1,123,4.58,221,80.3,371,9079982,0.931730665
Africa,Sudan,1995,55.1,women,21.8,127,4.52,355,267,530,12010205,3.240066709
Americas,Suriname,1995,64.5,women,26,125,4.76,11.9,8.9,8.82,217443,1.606979309
Europe,Sweden,1995,76.1,women,24.8,128,5.54,1150,255,623,4470258,0.42871826
Europe,Switzerland,1995,75.2,women,24,125,5.58,813,134,518,3579001,0.819286761
Asia,Tajikistan,1995,59.4,women,23.8,129,4.69,69.4,69.6,242,2888535,1.381274612
Asia,Thailand,1995,66.6,women,23.3,120,4.94,4360,3210,1270,2992961,0.992196303
Asia,Timor-Leste,1995,52.5,women,20.8,120,4.39,13.5,6.93,17.6,418304,1.993026601
Africa,Togo,1995,54,women,21.4,129,4.29,37.5,116,71.9,2146793,2.565875188
Oceania,Tonga,1995,68.6,women,31.2,123,4.76,3.93,3.57,3.35,47288,0.211918284
Americas,Trinidad and Tobago,1995,65.2,women,26.8,124,4.76,26.4,24.1,33.8,629283,0.387330403
Africa,Tunisia,1995,69.2,women,26.3,130,4.75,90.9,35.6,134,4516535,1.738311673
Asia,Turkey,1995,63.2,women,27.4,128,4.92,1850,612,2630,29650015,1.633536322
Asia,Turkmenistan,1995,58.9,women,24.1,130,4.87,62.9,50.9,150,2136195,2.236995885
Africa,Uganda,1995,41.5,women,21.4,131,4.3,137,325,302,10328095,3.233472926
Europe,Ukraine,1995,62.6,women,26,133,5.22,5020,791,9070,27171995,-0.487622459
Asia,United Arab Emirates,1995,72.1,women,28.3,126,5.41,10.6,7.78,13.5,811508,4.796845924
Europe,United Kingdom,1995,74,women,25.8,131,5.65,15100,966,4690,29764959,0.277333831
Americas,United States,1995,72.9,women,26.9,121,5.44,81400,4560,10700,134885042,1.054308105
Americas,Uruguay,1995,69.8,women,25,126,5.13,206,27.5,242,166237,0.732236715
Asia,Uzbekistan,1995,63.2,women,24.6,124,4.72,450,282,858,11458109,1.963903271
Oceania,Vanuatu,1995,64,women,25.8,129,4.7,3.11,1.66,3.15,81888,2.494524063
Asia,Yemen,1995,57.8,women,24.8,125,4.65,176,122,346,737612,4.009093315
Africa,Zambia,1995,41.2,women,22,128,4.52,45.9,144,150,4578566,2.620626527
Africa,Zimbabwe,1995,48.1,women,24.7,131,4.46,171,315,247,576958,1.476226013
Asia,Afghanistan,1996,52.5,women,20.6,124,4.4,270,165,622,9082951,4.18575975
Europe,Albania,1996,69.6,women,25,129,4.93,121,91.5,111,1570487,-0.565398498
Africa,Algeria,1996,67,women,25.1,131,4.9,191,108,303,14442437,1.749199124
Africa,Angola,1996,41.5,women,21.4,130,4.54,148,194,247,7218187,3.342272824
Americas,Antigua and Barbuda,1996,70.1,women,26.3,125,4.98,1.61,1.63,2.53,3681,2.577678696
Americas,Argentina,1996,69.3,women,25.8,121,5.21,1930,735,1580,18106091,1.244106332
Asia,Armenia,1996,65.9,women,25.9,133,4.9,135,125,210,1672643,-1.221967301
Oceania,Australia,1996,75.6,women,25.6,123,5.46,2450,165,838,9138013,1.061330471
Europe,Austria,1996,73.7,women,24.6,128,5.52,1060,248,958,4142292,0.209864629
Asia,Azerbaijan,1996,61.6,women,26.4,129,4.82,180,191,457,401947,1.04027388
Americas,Bahamas,1996,68.2,women,27.7,127,5.25,7.23,4.88,8.73,144025,1.607805511
Asia,Bahrain,1996,72.8,women,27.1,135,5.24,13.9,4.63,7.32,246051,3.036000687
Asia,Bangladesh,1996,62.4,women,19.1,124,4.44,2840,492,2330,57101958,2.19382759
Americas,Barbados,1996,70.2,women,27.9,127,5.01,8.49,8.93,17,138602,0.436959688
Europe,Belarus,1996,62.4,women,25.9,131,5.29,544,137,1830,5334167,-0.347223195
Europe,Belgium,1996,73.8,women,25.1,128,5.62,1190,265,833,5211515,0.212095603
Americas,Belize,1996,66.6,women,27.9,121,4.8,3.38,5.37,4.89,106058,3.248605446
Africa,Benin,1996,53.4,women,22.5,129,4.35,49.8,175,101,3103701,3.085797301
Asia,Bhutan,1996,57.2,women,21.5,124,4.48,4.42,2.38,9.47,264425,1.425733004
Europe,Bosnia and Herzegovina,1996,69.1,women,25.3,133,4.72,262,79.2,194,1919213,-1.611213129
Africa,Botswana,1996,51.2,women,25,132,4.75,30.1,15.6,17,78035,2.290810802
Americas,Brazil,1996,64.3,women,24.9,128,4.88,5420,2290,4840,82942141,1.63913817
Europe,Bulgaria,1996,67.5,women,25.3,131,5.21,537,290,777,4237395,-0.933735827
Africa,Burkina Faso,1996,48.1,women,20.7,128,4.19,64.6,290,217,5289053,2.755146983
Africa,Burundi,1996,47.9,women,20.4,131,4.24,44,110,159,3098079,1.181718778
Asia,Cambodia,1996,53.4,women,20.6,117,4.37,280,125,352,5648223,3.017370545
Africa,Cameroon,1996,48.7,women,23.1,125,4.45,158,464,256,7017468,2.720709643
Americas,Canada,1996,75.4,women,25.7,122,5.37,6640,383,2040,14874765,1.010123989
Africa,Central African Republic,1996,44.1,women,20.9,129,4.4,48.5,66.7,98.5,1677486,2.651772907
Africa,Chad,1996,46.3,women,20.5,126,4.25,49.4,180,120,3646801,3.398441709
Americas,Chile,1996,72.6,women,26.2,127,5.14,616,281,1030,7413348,1.419436075
Asia,China,1996,68.7,women,22.4,123,4.32,95800,87000,117000,609466081,0.86595753
Americas,Colombia,1996,65.8,women,25.4,124,5.06,1090,676,1940,18869052,1.855102946
Africa,Comoros,1996,57.4,women,21.9,129,4.45,2.85,6.24,5.56,243096,2.74860203
Americas,Costa Rica,1996,74.4,women,25.5,123,4.87,66.4,63.8,234,1806590,2.491732708
Europe,Croatia,1996,70.4,women,24.6,132,5.18,497,165,546,2364066,-0.818143564
Americas,Cuba,1996,73.7,women,25.1,125,4.82,970,306,270,5469793,0.532751851
Asia,Cyprus,1996,75.4,women,25.3,127,5.36,24.8,7.17,21.3,432879,2.190992403
Europe,Denmark,1996,73.3,women,24.4,125,5.58,1520,122,293,2657949,0.389100209
Africa,Djibouti,1996,55.4,women,23.3,129,4.79,2.5,7.88,5.76,319771,2.092804965
Americas,Dominican Republic,1996,67.1,women,24.9,127,4.54,188,151,145,3961994,1.771029222
Americas,Ecuador,1996,68.8,women,26.1,125,4.87,208,252,755,5824361,2.183277789
Africa,Egypt,1996,64.9,women,28.1,125,4.78,712,1170,834,31572811,2.02836763
Americas,El Salvador,1996,63.2,women,25.9,120,4.69,95.8,100,275,2931847,1.21512824
Africa,Equatorial Guinea,1996,49.5,women,21.6,131,4.54,6.79,9.08,11.9,253408,3.325137715
Africa,Eritrea,1996,51.2,women,20,123,4.26,14.8,36,40.4,1103863,-0.305262711
Europe,Estonia,1996,63,women,24.7,131,5.42,129,30.5,230,761374,-1.093542152
Africa,Ethiopia,1996,48.3,women,19.6,122,4.24,356,885,1150,29528171,3.219631248
Oceania,Fiji,1996,64.6,women,26.7,126,4.92,8.97,9.81,10.8,385788,1.174107225
Europe,Finland,1996,73,women,25.3,131,5.59,518,131,466,263418,0.296757598
Europe,France,1996,74,women,24.5,126,5.57,4000,1200,3670,29831939,0.394866417
Africa,Gabon,1996,59,women,23.9,134,5.02,23.9,34,26.5,563697,2.428347928
Africa,Gambia,1996,53.1,women,22.5,129,4.38,5.31,46,6.45,582162,3.186731965
Asia,Georgia,1996,66.8,women,25.4,132,4.86,160,126,263,2552665,-2.600744956
Europe,Germany,1996,73.5,women,25.4,131,5.78,11900,2200,10200,41857046,0.145781492
Africa,Ghana,1996,56.4,women,22.6,129,4.31,96.3,431,261,8653737,2.613206415
Europe,Greece,1996,75.3,women,24.5,126,5.1,1000,682,791,5447918,0.774652056
Americas,Grenada,1996,67.2,women,25.9,125,4.74,2.82,3.15,4.27,50851,0.669134678
Americas,Guatemala,1996,62.5,women,25.1,121,4.58,140,247,554,5400518,2.423777941
Africa,Guinea,1996,51.3,women,21.4,131,4.28,60.8,319,154,3889999,2.746827526
Africa,Guinea-Bissau,1996,49.4,women,22,129,4.26,10.8,40.9,30.9,57347,2.011156887
Americas,Guyana,1996,61.2,women,25,123,4.46,10.4,12.7,18,385614,-0.233108676
Americas,Haiti,1996,54.9,women,22,124,4.4,214,120,401,4005673,1.832395514
Americas,Honduras,1996,66.9,women,25.2,122,4.6,73.3,92,223,2955601,2.890656956
Europe,Hungary,1996,65.9,women,25.4,131,5.22,1940,399,1030,5401175,-0.076258529
Europe,Iceland,1996,76.7,women,25.1,123,5.78,52.2,2.83,17.2,134723,0.991754123
Asia,India,1996,60.2,women,20.8,125,4.53,8730,4450,32000,471862701,1.893946176
Asia,Indonesia,1996,63.8,women,21.8,126,4.57,2270,2390,5170,99940759,1.540605362
Asia,Iraq,1996,66.1,women,27.2,127,4.88,265,161,204,10303641,3.143173499
Europe,Ireland,1996,73.1,women,25.6,128,5.48,544,43.7,222,182244,0.772921964
Asia,Israel,1996,75.9,women,26.1,126,5.47,407,80.8,267,2748230,3.011831875
Europe,Italy,1996,75.1,women,24.8,128,5.32,6900,3250,8620,29384805,-0.126500475
Americas,Jamaica,1996,69.4,women,26.1,125,4.78,75.3,42.6,97.6,1290930,0.859816005
Asia,Japan,1996,76.8,women,21.9,126,5.21,18300,11800,36400,64340877,0.257099704
Asia,Jordan,1996,69.7,women,28.9,125,5.3,41.7,17.2,41.4,2261195,3.302092589
Asia,Kazakhstan,1996,58.2,women,25.7,130,5.03,871,490,1500,8069158,-1.189099592
Africa,Kenya,1996,50.9,women,22.1,126,4.47,177,187,531,14376548,3.000779211
Oceania,Kiribati,1996,59.9,women,28.6,120,4.58,1.14,1.62,0.87,3983,1.617511991
Asia,Kuwait,1996,72.1,women,29.6,129,5.46,15.3,7.66,9.54,679367,0.886400019
Europe,Latvia,1996,62.1,women,25.1,131,5.37,184,49.5,368,1338388,-1.06095776
Asia,Lebanon,1996,71.1,women,26.2,130,5,98.1,32.6,89.9,1815207,2.329520983
Africa,Lesotho,1996,53.6,women,25.9,128,4.28,27.6,22.9,29.7,992135,1.658071649
Africa,Liberia,1996,49.9,women,22.1,130,4.27,11.5,78.6,47.4,1085688,5.619070596
Africa,Libya,1996,68.5,women,27.9,133,4.98,42.1,43.3,43.8,2403046,1.954450186
Europe,Lithuania,1996,64.1,women,25.7,132,5.56,222,57.3,463,1907784,-0.521383285
Europe,Luxembourg,1996,73.2,women,25.4,128,5.72,51.2,13.1,38,210608,1.371788331
Africa,Madagascar,1996,54.2,women,20.5,129,4.42,74.3,167,168,6975846,3.198560277
Africa,Malawi,1996,44.4,women,21.6,129,4.33,49,79.3,60.1,5054666,1.875602376
Asia,Malaysia,1996,70.1,women,24.2,125,5,667,250,343,1031969,2.589559549
Asia,Maldives,1996,66.1,women,24.6,123,4.71,1.58,1.12,2.45,128241,2.17185197
Africa,Mali,1996,45.9,women,21,126,4.26,64,446,423,4969856,2.572984754
Europe,Malta,1996,75.5,women,26.5,129,5.48,15.2,4.15,16.8,192324,0.802440341
Africa,Mauritania,1996,58.1,women,24.6,129,4.47,23.3,75.9,42.5,119666,2.5246039
Africa,Mauritius,1996,66.8,women,25,131,4.93,22.5,13.9,29,573200,1.267254036
Americas,Mexico,1996,70.7,women,27.1,124,4.88,1940,1970,2600,47372973,1.675296398
Asia,Mongolia,1996,59,women,24.9,129,4.97,92.2,203,267,1167315,0.668614529
Europe,Montenegro,1996,70.9,women,25.4,131,5.14,67.8,16.6,17.3,312067,-0.028831646
Africa,Morocco,1996,65.5,women,25.1,127,4.79,251,98,418,1377299,1.516999558
Africa,Mozambique,1996,44.3,women,21.7,132,4.41,90.1,437,318,8348528,3.042689782
Asia,Myanmar,1996,58.6,women,20.9,120,4.31,678,685,1710,22848081,1.320379732
Africa,Namibia,1996,56.4,women,23.7,132,4.61,12.1,5,10.3,860950,2.182027499
Asia,Nepal,1996,58.4,women,19.6,124,4.38,314,103,586,1094094,2.511244114
Europe,Netherlands,1996,74.8,women,24.7,126,5.5,2200,198,1300,7854698,0.606518605
Oceania,New Zealand,1996,74.5,women,26,123,5.62,568,42.3,214,1886281,1.196092675
Americas,Nicaragua,1996,65.4,women,26,123,4.61,40.1,74.4,110,2393604,1.944376182
Africa,Niger,1996,46.7,women,20.9,130,4.2,64,237,149,4982362,3.406522066
Africa,Nigeria,1996,44.8,women,22.8,133,4.15,655,3640,1080,54941135,2.496107364
Europe,Norway,1996,75.1,women,24.8,130,5.54,668,45.6,324,2220035,0.572757353
Asia,Oman,1996,68.5,women,26.1,130,5.14,10.4,10.3,23.9,916127,2.129825132
Asia,Pakistan,1996,61,women,22.8,126,4.64,1140,1140,1430,61544776,2.931626141
Americas,Panama,1996,71.8,women,25.9,124,4.9,58.7,35.9,88.7,1385918,2.096039309
Oceania,Papua New Guinea,1996,58.1,women,23.9,116,4.63,92.9,55.1,123,2613419,2.458411612
Americas,Paraguay,1996,66.9,women,24.8,125,4.89,89.4,44.6,108,2409541,2.299198518
Americas,Peru,1996,66.1,women,25.6,122,4.85,723,556,1500,12421934,1.84268018
Asia,Philippines,1996,63.6,women,22.6,123,4.78,1730,923,805,3539432,2.346502382
Europe,Poland,1996,67.8,women,25.6,131,5.25,4300,843,2270,19785042,0.161838102
Europe,Portugal,1996,72,women,25.6,131,5.31,569,230,1430,5251771,0.409609535
Asia,Qatar,1996,74.9,women,27.6,131,5.3,3.16,3.39,4.13,179293,2.39229258
Europe,Romania,1996,65.9,women,24.9,131,5.11,1390,515,1370,11609214,-0.610886336
Africa,Rwanda,1996,34.8,women,21.2,131,4.31,38.7,97.5,121,309056,3.080033647
Oceania,Samoa,1996,64.8,women,30.6,123,4.62,1.5,1.05,2.69,82136,0.648228706
Africa,Sao Tome and Principe,1996,61,women,23.2,133,4.4,2.02,0.61,4.84,67595,1.617582946
Asia,Saudi Arabia,1996,69.6,women,28,129,5.14,161,291,142,8527983,2.706591445
Africa,Senegal,1996,55.8,women,22.9,129,4.41,62.5,238,141,4499084,2.729578282
Europe,Serbia,1996,69,women,25.6,132,5,883,302,509,5002633,-0.218585796
Africa,Seychelles,1996,66.4,women,26.6,131,5.34,1.94,0.81,1.57,3876,1.277729874
Africa,Sierra Leone,1996,35.2,women,22.6,133,4.27,23.8,115,70,2177187,0.159496163
Asia,Singapore,1996,75.2,women,23.4,126,4.67,264,79.9,164,1785217,2.858010397
Europe,Slovenia,1996,70.8,women,26.2,132,5.33,180,38.2,203,1022355,-0.233520827
Oceania,Solomon Islands,1996,60,women,26.8,122,4.66,6.09,4.11,7.44,17966,2.815023377
Africa,Somalia,1996,46.6,women,21.8,129,4.43,37.5,103,123,3831257,2.58216063
Africa,South Africa,1996,57,women,27.8,131,4.54,1320,609,636,21401432,2.006719219
Europe,Spain,1996,74.8,women,25.8,126,5.28,1940,1410,3490,20363381,0.281717261
Asia,Sri Lanka,1996,65.9,women,22.2,123,4.58,222,84.6,372,9152487,0.798514799
Africa,Sudan,1996,55.3,women,21.9,127,4.52,365,274,541,12353337,2.85700369
Americas,Suriname,1996,64.5,women,26.1,125,4.75,12.3,9.04,8.7,220779,1.534195168
Europe,Sweden,1996,76.4,women,24.8,127,5.49,1190,250,615,4481405,0.249359209
Europe,Switzerland,1996,75.6,women,24,124,5.54,827,138,498,3600601,0.603520368
Asia,Tajikistan,1996,60,women,23.7,129,4.63,65.1,69.4,236,292894,1.398805969
Asia,Thailand,1996,66.5,women,23.4,120,4.96,4580,3340,1290,30278911,1.167075014
Asia,Timor-Leste,1996,53.8,women,20.9,121,4.4,13.3,6.97,17,423705,1.291166233
Africa,Togo,1996,53.6,women,21.4,129,4.27,38.3,117,71,2208145,2.857844236
Oceania,Tonga,1996,68.7,women,31.5,124,4.77,3.99,3.61,3.36,47385,0.205126036
Americas,Trinidad and Tobago,1996,65.1,women,26.9,124,4.76,26.1,22.7,32.6,631030,0.277617543
Africa,Tunisia,1996,69.6,women,26.4,130,4.76,93.6,36.6,133,4587331,1.567484809
Asia,Turkey,1996,63.8,women,27.5,128,4.92,1860,615,2580,30133315,1.630016039
Asia,Turkmenistan,1996,58.9,women,24,130,4.83,64,52,150,2176400,1.882084735
Africa,Uganda,1996,41.7,women,21.4,131,4.3,154,330,295,10651837,3.134576125
Europe,Ukraine,1996,62.3,women,25.9,132,5.17,4560,769,8460,27000236,-0.632117737
Asia,United Arab Emirates,1996,72.4,women,28.4,126,5.41,11.2,8.09,13.8,848997,4.619671032
Europe,United Kingdom,1996,74.3,women,25.9,131,5.62,15300,1010,4600,29851318,0.290136465
Americas,United States,1996,73.1,women,27,121,5.42,82900,4730,10700,13642297,1.140176833
Americas,Uruguay,1996,70,women,25.1,126,5.12,210,28,243,1674435,0.725771038
Asia,Uzbekistan,1996,63.3,women,24.7,124,4.67,445,289,847,11672059,1.867236557
Oceania,Vanuatu,1996,64.4,women,26,129,4.71,3.21,1.7,3.23,83661,2.165152403
Asia,Yemen,1996,58.1,women,24.9,125,4.65,181,125,351,7642286,3.608482508
Africa,Zambia,1996,41.2,women,22.1,128,4.5,47.5,149,160,4703048,2.718798855
Africa,Zimbabwe,1996,46.8,women,24.7,131,4.45,173,323,245,5844139,1.292277774
Asia,Afghanistan,1997,52.9,women,20.6,124,4.38,275,170,645,9344885,2.883798448
Europe,Albania,1997,70,women,25,129,4.92,128,93.2,116,1562385,-0.515890931
Africa,Algeria,1997,67.5,women,25.2,131,4.89,194,108,300,14674195,1.604701478
Africa,Angola,1997,42.1,women,21.5,130,4.53,151,197,247,7459618,3.344759564
Americas,Antigua and Barbuda,1997,70.3,women,26.4,125,4.97,1.68,1.6,2.45,37754,2.564520511
Americas,Argentina,1997,69.5,women,26,120,5.21,1970,745,1570,18327460,1.222621713
Asia,Armenia,1997,66.4,women,25.9,133,4.87,137,127,206,1657791,-0.887936039
Oceania,Australia,1997,75.9,women,25.7,123,5.44,2540,177,855,9232141,1.03007076
Europe,Austria,1997,74.1,women,24.6,128,5.5,1100,254,923,4145,0.065374435
Asia,Azerbaijan,1997,62.2,women,26.3,129,4.78,179,195,458,4055528,0.897083446
Americas,Bahamas,1997,68.4,women,27.8,127,5.24,7.98,4.86,9.1,146178,1.494879361
Asia,Bahrain,1997,73,women,27.2,134,5.24,14.2,4.79,7.3,254071,3.259486854
Asia,Bangladesh,1997,63.1,women,19.2,124,4.43,2980,514,2320,58344078,2.175266915
Americas,Barbados,1997,70.4,women,28,127,5,8.46,8.57,16.7,139226,0.450209954
Europe,Belarus,1997,62.1,women,25.9,130,5.26,535,139,1780,5313241,-0.392301178
Europe,Belgium,1997,74,women,25.1,127,5.59,1200,260,788,5219305,0.149476688
Americas,Belize,1997,66.3,women,28.1,121,4.79,3.8,5.5,5.21,109999,3.715891305
Africa,Benin,1997,53.4,women,22.6,129,4.34,51,178,100,3196075,2.976253189
Asia,Bhutan,1997,58,women,21.6,125,4.49,4.53,2.46,9.6,269871,2.059563203
Europe,Bosnia and Herzegovina,1997,70,women,25.4,133,4.72,271,81.7,189,1904836,-0.74910914
Africa,Botswana,1997,49.7,women,25.1,132,4.74,31.6,16.4,18.2,797787,2.234510156
Americas,Brazil,1997,64.8,women,25,128,4.89,5680,2350,4960,84281598,1.614929376
Europe,Bulgaria,1997,67.5,women,25.2,131,5.18,540,288,784,4200545,-0.869638068
Africa,Burkina Faso,1997,48.2,women,20.7,128,4.17,65.9,293,217,5435867,2.775808826
Africa,Burundi,1997,48.5,women,20.5,131,4.22,43.7,110,158,3127093,0.936515822
Asia,Cambodia,1997,54,women,20.6,117,4.38,287,128,356,5808469,2.837104696
Africa,Cameroon,1997,48.6,women,23.2,125,4.43,163,477,264,7205067,2.673314649
Americas,Canada,1997,75.7,women,25.8,122,5.35,6880,401,2090,150172,0.957561346
Africa,Central African Republic,1997,43.6,women,21,129,4.38,49.5,67.6,100,1720193,2.54589308
Africa,Chad,1997,46.4,women,20.6,126,4.24,50.9,183,121,3772452,3.44551293
Americas,Chile,1997,72.9,women,26.4,127,5.14,626,284,1040,7513445,1.350226645
Asia,China,1997,69.1,women,22.4,123,4.34,1.00E+05,88600,119000,614526881,0.830366145
Americas,Colombia,1997,66.2,women,25.5,124,5.07,1110,684,1920,19208736,1.800217626
Africa,Comoros,1997,57.6,women,21.9,130,4.44,2.91,6.37,5.68,249648,2.695231513
Americas,Costa Rica,1997,74.6,women,25.7,122,4.87,69.2,64.3,229,1850436,2.42700336
Europe,Croatia,1997,70.7,women,24.6,132,5.17,529,169,549,2344522,-0.826711268
Americas,Cuba,1997,74,women,25.1,125,4.79,1010,301,272,5499384,0.540989394
Asia,Cyprus,1997,75.5,women,25.3,126,5.34,25.4,7.34,21.6,442018,2.111213526
Europe,Denmark,1997,73.5,women,24.5,124,5.56,1560,121,284,2668593,0.400459151
Africa,Djibouti,1997,55.4,women,23.3,129,4.77,2.62,8.15,5.96,328227,2.644392393
Americas,Dominican Republic,1997,67.2,women,25,127,4.55,199,159,150,4030352,1.72534335
Americas,Ecuador,1997,69.1,women,26.2,125,4.87,217,263,765,594908,2.141333616
Africa,Egypt,1997,65.3,women,28.3,125,4.79,737,1210,847,32217491,2.041883442
Americas,El Salvador,1997,63.5,women,26,120,4.69,98,105,283,2964852,1.125740873
Africa,Equatorial Guinea,1997,50,women,21.9,131,4.55,7.26,9.01,10.8,262193,3.466741381
Africa,Eritrea,1997,51.8,women,20.1,123,4.26,15.3,36.6,40.3,1103390,-0.04284952
Europe,Estonia,1997,63.3,women,24.7,131,5.39,132,31.4,223,755956,-0.711608224
Africa,Ethiopia,1997,48.9,women,19.7,122,4.23,366,904,1160,3043737,3.079090134
Oceania,Fiji,1997,64.8,women,26.9,126,4.94,9.21,9.85,11.1,390012,1.094901863
Europe,Finland,1997,73.3,women,25.3,131,5.56,537,139,452,2640456,0.238252511
Europe,France,1997,74.3,women,24.6,125,5.54,4200,1250,3560,29948664,0.39127527
Africa,Gabon,1997,58.8,women,24.1,134,5.01,24.7,34.8,26.7,577101,2.377873219
Africa,Gambia,1997,53.6,women,22.7,129,4.37,5.38,47.5,6.4,600857,3.211305444
Asia,Georgia,1997,67.1,women,25.5,132,4.82,164,123,256,2479329,-2.872919087
Europe,Germany,1997,73.8,women,25.4,131,5.76,12300,2230,9690,41860767,0.008889782
Africa,Ghana,1997,56.3,women,22.7,129,4.3,99.2,446,265,8873415,2.538533353
Europe,Greece,1997,75.4,women,24.6,126,5.08,1030,672,793,5483991,0.662142859
Americas,Grenada,1997,67.4,women,26,125,4.74,2.86,3.01,4.22,51129,0.546695247
Americas,Guatemala,1997,63.1,women,25.2,121,4.57,149,272,581,5529763,2.393196356
Africa,Guinea,1997,51.3,women,21.5,131,4.26,62.3,324,155,3996487,2.737481424
Africa,Guinea-Bissau,1997,49.9,women,22.1,129,4.25,11,41.2,30.6,58463,1.946047744
Americas,Guyana,1997,61.4,women,25.2,123,4.47,10.7,12.1,17.1,383296,-0.601119254
Americas,Haiti,1997,55.2,women,22.1,124,4.39,216,120,392,4078014,1.805963692
Americas,Honduras,1997,67.3,women,25.3,122,4.6,75.4,95,227,3041102,2.892846497
Europe,Hungary,1997,66.2,women,25.4,131,5.21,2000,393,1000,5392962,-0.152059506
Europe,Iceland,1997,76.9,women,25.1,123,5.76,54.5,2.94,17.3,136074,1.002798334
Asia,India,1997,60.6,women,20.8,125,4.53,9040,4690,32500,480682702,1.869188003
Asia,Indonesia,1997,64,women,21.9,126,4.58,2340,2470,5240,101409092,1.469203371
Asia,Iraq,1997,66.4,women,27.3,126,4.87,276,165,210,10628923,3.156961699
Europe,Ireland,1997,73.3,women,25.7,127,5.47,563,45.9,223,1838313,0.870975176
Asia,Israel,1997,76.1,women,26.2,126,5.44,414,84,264,2822203,2.691659723
Europe,Italy,1997,75.5,women,24.8,128,5.31,7120,3320,8510,29324844,-0.204054442
Americas,Jamaica,1997,69.4,women,26.2,125,4.77,76.9,43.1,94.5,1301924,0.851634093
Asia,Japan,1997,77,women,21.9,126,5.22,18900,12100,36200,64493444,0.237122972
Asia,Jordan,1997,69.9,women,28.9,124,5.29,43,17.7,41.9,2321312,2.658638463
Asia,Kazakhstan,1997,57.9,women,25.7,130,5,836,479,1410,7964606,-1.295699006
Africa,Kenya,1997,50.4,women,22.2,127,4.46,183,194,553,14798387,2.934216197
Oceania,Kiribati,1997,60.2,women,28.8,120,4.59,1.23,1.65,0.87,40525,1.744915893
Asia,Kuwait,1997,72.2,women,29.7,128,5.46,15.9,8.66,9.88,712974,4.946810781
Europe,Latvia,1997,62.5,women,25,131,5.33,177,49,358,1325424,-0.968627932
Asia,Lebanon,1997,71.5,women,26.4,130,5,102,32.9,88,1840215,1.377694114
Africa,Lesotho,1997,51.9,women,26,129,4.28,28.7,23.6,29.6,1011326,1.934313375
Africa,Liberia,1997,50.7,women,22.2,130,4.25,12.1,82.5,49.3,1168369,7.615539639
Africa,Libya,1997,68.6,women,28,133,4.96,43.9,45,45.8,244708,1.832424348
Europe,Lithuania,1997,64.3,women,25.6,132,5.51,212,56.6,433,1897360,-0.546393093
Europe,Luxembourg,1997,73.5,women,25.4,128,5.68,54.8,13.3,38.1,213507,1.376490922
Africa,Madagascar,1997,55,women,20.6,130,4.41,76.5,172,175,7200858,3.225587262
Africa,Malawi,1997,44.4,women,21.7,129,4.33,50.3,84.5,62.8,5181579,2.510808825
Asia,Malaysia,1997,70.3,women,24.3,125,5.02,694,259,346,10587331,2.593498448
Asia,Maldives,1997,66.8,women,24.7,123,4.72,1.62,1.14,2.41,130739,1.947894979
Africa,Mali,1997,46.1,women,21.1,126,4.25,64.4,453,425,5096977,2.55784071
Europe,Malta,1997,75.7,women,26.6,129,5.45,15.8,4.31,16.9,193889,0.813730996
Africa,Mauritania,1997,58.2,women,24.7,129,4.45,23.5,77.3,41.5,1226455,2.48984674
Africa,Mauritius,1997,66.9,women,25.1,131,4.93,23.5,14.3,29.2,579987,1.184054431
Americas,Mexico,1997,71,women,27.3,124,4.89,2000,2020,2650,48128321,1.594470332
Asia,Mongolia,1997,59.3,women,25,129,4.94,88,212,274,1175108,0.667600433
Europe,Montenegro,1997,70.7,women,25.4,131,5.13,68.7,17,17.8,311591,-0.152531347
Africa,Morocco,1997,65.9,women,25.2,127,4.78,257,101,421,13970076,1.430960162
Africa,Mozambique,1997,44.9,women,21.8,132,4.4,93.4,448,327,8573181,2.690929467
Asia,Myanmar,1997,59,women,21,120,4.32,695,699,1700,23162767,1.377297288
Africa,Namibia,1997,55.6,women,23.8,132,4.6,12.7,5.25,10.8,878968,2.09280446
Asia,Nepal,1997,59.1,women,19.7,124,4.38,322,107,578,11221189,2.561470952
Europe,Netherlands,1997,75,women,24.8,126,5.48,2330,207,1260,7901101,0.590767462
Oceania,New Zealand,1997,74.8,women,26.1,123,5.58,584,44.7,212,1905466,1.0170807
